Date,Event,Category
10/10/1911,"The Xinhai Revolution begins, leading to the fall of China's Qing dynasty",War & Military Conflict
12/14/1911,South Pole first reached by Roald Amundsen,Exploration & Discovery
1/1/1912,Sun Yat-sen becomes the first president of the Republic of China,Politics & Government
1/17/1912,"Robert Falcon Scott's expedition reaches the South Pole, a month behind Amundsen",Exploration & Discovery
4/15/1912,The RMS Titanic sinks after striking an iceberg,Disaster & Tragedy
10/8/1912,The First Balkan War begins against the Ottoman Empire,War & Military Conflict
1/9/1913,President Richard Nixon is born,Politics & Government
4/29/1913,The zipper is patented,Science & Technology
12/1/1913,Ford introduces the moving assembly line,Science & Technology
3/27/1914,First successful blood transfusion,Science & Technology
6/28/1914,Archduke Franz Ferdinand is assassinated in Sarajevo,Crime & Assassination
6/28/1914,A Bosnian Serb nationalist assassinates the Austrian archduke,Crime & Assassination
6/28/1914,"Archduke Franz Ferdinand is assassinated in Sarajevo, igniting World War I",Crime & Assassination
8/1/1914,"Germany declares war on Russia, widening World War I",War & Military Conflict
8/3/1914,Germany declares war on France,War & Military Conflict
8/4/1914,England declares war on Germany; U.S. declares neutrality,War & Military Conflict
8/4/1914,Germany invades neutral Belgium,War & Military Conflict
8/4/1914,Giacomo della Chiesa is elected Pope Benedict XV as World War I begins,Religion
8/15/1914,The Panama Canal opens to commercial traffic,Science & Technology
8/16/1914,The first ship transits the completed Panama Canal,Science & Technology
9/5/1914,The First Battle of the Marne halts the German advance,War & Military Conflict
1/25/1915,Alexander Graham Bell makes 1st transcontinental phone call,Science & Technology
4/25/1915,Allied troops land at Gallipoli,War & Military Conflict
5/6/1915,Ocean liner Lusitania sunk by German submarines,War & Military Conflict
5/7/1915,A German U-boat sinks the RMS Lusitania,War & Military Conflict
5/23/1915,"Italy declares war on Austria-Hungary, joining the Allies",War & Military Conflict
11/25/1915,Albert Einstein presents his general theory of relativity,Science & Technology
4/24/1916,Irish rebels launch the Easter Rising in Dublin,War & Military Conflict
4/24/1916,The Easter Rising begins in Dublin against British rule,War & Military Conflict
5/16/1916,Britain and France conclude the secret Sykes-Picot Agreement dividing the Middle East,Politics & Government
5/31/1916,The Battle of Jutland is fought between British and German fleets,War & Military Conflict
7/1/1916,The Battle of the Somme begins with heavy Allied casualties,War & Military Conflict
3/8/1917,The February Revolution forces the abdication of Tsar Nicholas II,War & Military Conflict
4/2/1917,President Wilson asks Congress to declare war on Germany,War & Military Conflict
4/6/1917,The United States enters World War I,War & Military Conflict
4/6/1917,Congress formally declares war on the German Empire,War & Military Conflict
5/29/1917,President John F. Kennedy is born,Politics & Government
11/2/1917,Britain issues the Balfour Declaration on a Jewish homeland,Politics & Government
11/2/1917,Britain issues the Balfour Declaration favoring a Jewish homeland in Palestine,Politics & Government
11/7/1917,The Bolsheviks seize power in the Russian Revolution,War & Military Conflict
11/20/1917,British tanks achieve a breakthrough at the Battle of Cambrai,War & Military Conflict
12/6/1917,"A ship explosion devastates Halifax, Nova Scotia",Disaster & Tragedy
1/1/1918,"A global influenza pandemic begins, eventually killing tens of millions",Disaster & Tragedy
3/3/1918,"Russia signs the Treaty of Brest-Litovsk, exiting World War I",War & Military Conflict
3/3/1918,"Soviet Russia signs the Treaty of Brest-Litovsk, exiting World War I",Politics & Government
3/21/1918,Germany launches its Spring Offensive on the Western Front,War & Military Conflict
7/17/1918,Tsar Nicholas II and his family are executed,Crime & Assassination
9/29/1918,Bulgaria becomes the first Central Power to seek an armistice,War & Military Conflict
10/1/1918,"Great Influenza Epidemic begins, killing over 18 million",Disaster & Tragedy
11/3/1918,"Sailors mutiny at Kiel, sparking the German Revolution",War & Military Conflict
11/9/1918,Kaiser Wilhelm II abdicates the German throne,Politics & Government
11/11/1918,An armistice ends fighting in World War I,War & Military Conflict
11/11/1918,Fighting ends on the Western Front at the eleventh hour,War & Military Conflict
11/11/1918,Germany signs the armistice ending World War I,War & Military Conflict
1/1/1919,Rosa Luxemburg is killed after the failed Spartacist uprising in Berlin,Crime & Assassination
1/15/1919,A wave of molasses kills 21 people in the Great Molasses Flood of Boston,Disaster & Tragedy
1/16/1919,The 18th Amendment establishing Prohibition is ratified,Politics & Government
4/13/1919,"British troops fire on unarmed protesters at Amritsar, India",War & Military Conflict
5/29/1919,Astronomers confirm Einstein's theory during a solar eclipse expedition,Space & Astronomy
6/14/1919,Alcock and Brown complete the first nonstop transatlantic flight,Exploration & Discovery
6/28/1919,"Treaty of Versailles signed, ending WWI",Politics & Government
1/5/1920,Boston Red Sox sell Babe Ruth to NY Yankees,Sports
1/10/1920,The League of Nations formally comes into being,Politics & Government
6/4/1920,The Treaty of Trianon strips Hungary of much of its territory,Politics & Government
8/10/1920,The Treaty of Sevres dismantles the Ottoman Empire,Politics & Government
8/18/1920,The 19th Amendment granting women's suffrage is ratified,Civil Rights & Social Movement
8/18/1920,Tennessee's ratification secures women's right to vote nationwide,Civil Rights & Social Movement
8/26/1920,"19th Amendment ratified, giving women the right to vote",Civil Rights & Social Movement
9/17/1920,"The American Professional Football Association, later the NFL, is founded",Sports
11/2/1920,The first commercial radio broadcast airs on KDKA in Pittsburgh,Science & Technology
7/2/1921,Jack Dempsey defeats Georges Carpentier in boxing's first million-dollar gate,Sports
7/18/1921,Black Sox trial begins in Chicago,Crime & Assassination
4/16/1922,Annie Oakley shoot a record 100 clay targets in a row,Sports
8/28/1922,The first radio commercial airs in New York,Science & Technology
10/28/1922,Benito Mussolini's Fascists march on Rome,War & Military Conflict
11/1/1922,The Ottoman Sultanate is abolished by the new Turkish national assembly,Politics & Government
2/16/1923,Tutankhamen's burial chamber is opened,Science & Technology
5/27/1923,Henry Kissenger was born,Politics & Government
7/24/1923,The Treaty of Lausanne establishes modern Turkey's borders,Politics & Government
9/1/1923,The Great Kanto earthquake devastates Tokyo and Yokohama,Disaster & Tragedy
10/29/1923,Mustafa Kemal Ataturk proclaims the Republic of Turkey,Politics & Government
11/8/1923,Adolf Hitler leads the failed Beer Hall Putsch in Munich,War & Military Conflict
1/21/1924,Vladimir Lenin dies in the Soviet Union,Politics & Government
1/24/1924,"St. Petersburg, Russia renamed Leningrad",Politics & Government
1/25/1924,"The first Winter Olympics open in Chamonix, France",Sports
3/3/1924,Turkey abolishes the Ottoman caliphate,Politics & Government
5/4/1924,"The Paris Olympics open, featuring the first Olympic Village concept",Sports
6/2/1924,U.S. Congress grants Native Americans citizenship,Politics & Government
6/12/1924,President George H.W. Bush is born,Politics & Government
5/25/1925,"The Scopes ""Monkey Trial"" begins in Tennessee",Politics & Government
3/7/1926,First transatlantic telephone call,Science & Technology
5/3/1926,A general strike begins in Britain,Civil Rights & Social Movement
8/6/1926,Warner Bros. Studios premieres first talking pictures,"Arts, Literature & Media"
11/10/1926,Hirohito becomes Emperor of Japan,Politics & Government
5/20/1927,Charles Lindbergh departs New York on his transatlantic flight,Exploration & Discovery
5/21/1927,Charles Lindbergh completes the first solo transatlantic flight,Exploration & Discovery
5/21/1927,Charles Lindbergh completes the first solo nonstop transatlantic flight,Exploration & Discovery
9/30/1927,Babe Ruth hits his 60th home run of the season,Sports
10/6/1927,"The Jazz Singer premieres, launching the era of talking pictures","Arts, Literature & Media"
9/28/1928,Alexander Fleming discovers penicillin,Science & Technology
11/18/1928,Mickey Mouse makes his animated debut in Steamboat Willie,"Arts, Literature & Media"
5/16/1929,The first Academy Awards ceremony is held in Hollywood,"Arts, Literature & Media"
10/24/1929,Panic selling begins on Black Thursday at the New York Stock Exchange,Business & Economy
10/24/1929,Panic grips Wall Street as stock prices collapse,Business & Economy
10/29/1929,The stock market crashes on Black Tuesday,Disaster & Tragedy
10/29/1929,Panic selling triggers the Wall Street Crash,Disaster & Tragedy
11/29/1929,Commander Richard E. Byrd flies over the South Pole,Exploration & Discovery
1/13/1930,First Mickey Mouse comic strip appears,"Arts, Literature & Media"
3/12/1930,Mahatma Gandhi begins the Salt March in India,Civil Rights & Social Movement
3/13/1930,Astronomers announce the discovery of the planet Pluto,Space & Astronomy
7/13/1930,The first FIFA World Cup opens in Uruguay,Sports
7/30/1930,Uruguay wins the first FIFA World Cup on home soil,Sports
3/3/1931,The Star Spangled Banner become the U.S. national athem,"Arts, Literature & Media"
5/1/1931,The Empire State Building officially opens,Science & Technology
9/18/1931,"Japan stages the Mukden Incident, invading Manchuria",War & Military Conflict
9/18/1931,"Japanese forces stage the Mukden Incident, invading Manchuria",War & Military Conflict
10/18/1931,Inventor Thomas Edison dies in New Jersey,Science & Technology
2/4/1932,"The Winter Olympics open in Lake Placid, New York",Sports
3/29/1932,Jack Benny debuts on radio,"Arts, Literature & Media"
3/30/1932,Amelia Earhart is first woman to fly solo across the Atlantic,Exploration & Discovery
5/20/1932,Amelia Earhart becomes the first woman to fly solo across the Atlantic,Exploration & Discovery
6/6/1932,"The first drive-in theater debuts in Camden, New Jersey","Arts, Literature & Media"
7/30/1932,The Los Angeles Olympics open during the Great Depression,Sports
9/20/1932,Gandhi begins a hunger strike protesting treatment of India's untouchables,Civil Rights & Social Movement
9/23/1932,Ibn Saud proclaims the Kingdom of Saudi Arabia,Politics & Government
1/30/1933,The Lone Ranger premieres on ABC radio,"Arts, Literature & Media"
1/30/1933,Adolf Hitler is appointed Chancellor of Germany,Politics & Government
2/27/1933,A fire destroys the Reichstag building in Berlin,Disaster & Tragedy
3/4/1933,Franklin D. Roosevelt is inaugurated U.S. President,Politics & Government
3/9/1933,Congress passes the Emergency Banking Act during the Great Depression,Business & Economy
5/6/1933,The Public Works of Art Project begins under the New Deal,Politics & Government
5/27/1933,The Tennessee Valley Authority begins operations,Politics & Government
6/5/1933,The U.S. abandons the gold standard for domestic transactions,Business & Economy
6/6/1933,"The first drive-in movie theater opens in Camden, New Jersey","Arts, Literature & Media"
6/16/1933,Roosevelt signs the National Industrial Recovery Act,Politics & Government
7/6/1933,First all star game is played at Chicago's Wrigley Field,Sports
10/17/1933,Albert Einstein emigrates to U.S. from Germany,Science & Technology
12/5/1933,Prohibition ends,Politics & Government
5/28/1934,The Dionne quintuplets were born,Other Notable Event
6/30/1934,Hitler purges rivals in the Night of the Long Knives,War & Military Conflict
7/4/1934,Marie Curie dies from radiation-related illness,Science & Technology
7/22/1934,Public Enemy #1 John Dillinger killed by FBI agents in Chicago,Crime & Assassination
8/2/1934,Adolf Hitler merges the presidency and chancellorship after Hindenburg's death,Politics & Government
10/16/1934,Chinese Communist forces begin the Long March,War & Military Conflict
1/8/1935,Elvis Presly is born,"Arts, Literature & Media"
3/16/1935,Hitler orders German rearmament in violation of Versailles,War & Military Conflict
5/6/1935,The Works Progress Administration is established,Politics & Government
7/23/1935,An airplane crashes into the Empire State Building,Disaster & Tragedy
8/14/1935,Social Security Law is established,Politics & Government
9/15/1935,The Nuremberg Laws strip German Jews of citizenship,War & Military Conflict
10/3/1935,Italy invades Ethiopia under Mussolini,War & Military Conflict
3/7/1936,German troops reoccupy the Rhineland,War & Military Conflict
6/30/1936,Gone With the Wind is published,"Arts, Literature & Media"
7/17/1936,The Spanish Civil War begins,War & Military Conflict
7/17/1936,The Spanish Civil War begins with a military uprising against the Republic,War & Military Conflict
7/18/1936,"Nationalist generals rise up, starting the Spanish Civil War",War & Military Conflict
8/5/1936,Jesse Owens wins his third gold medal at Berlin Olympics,Sports
11/25/1936,Germany and Japan sign the Anti-Comintern Pact,Politics & Government
12/11/1936,King Edward VIII abdicates the British throne,Politics & Government
1/20/1937,Franklin Roosevelt is inaugurated for a second term,Politics & Government
2/5/1937,Roosevelt proposes his controversial court-packing plan,Politics & Government
4/26/1937,German planes bomb the Basque town of Guernica,War & Military Conflict
5/6/1937,The airship Hindenburg bursts into flames in New Jersey,Disaster & Tragedy
5/27/1937,The Golden Gate Bridge opens to pedestrian traffic,Science & Technology
6/1/1937,Amelia Earhart begins her attempt to fly around the world,Exploration & Discovery
6/3/1937,The Duke of Windsor marries Wallis Simpson,Politics & Government
7/2/1937,Aviator Amelia Earhart disappears over the Pacific Ocean,Exploration & Discovery
7/7/1937,"Japan invades China, beginning full-scale war",War & Military Conflict
7/7/1937,Japan launches a full invasion of China after the Marco Polo Bridge Incident,War & Military Conflict
7/25/1937,Pablo Picasso's Guernica is unveiled at the Paris World's Fair,"Arts, Literature & Media"
12/13/1937,Japanese forces begin the Nanjing Massacre,Crime & Assassination
12/13/1937,Japanese forces begin the mass killing of civilians in Nanjing,War & Military Conflict
3/12/1938,Germany annexes Austria in the Anschluss,War & Military Conflict
6/23/1938,The Civil Aeronautics Act creates federal oversight of U.S. air travel,Politics & Government
9/21/1938,The Great New England Hurricane strikes the northeastern U.S.,Disaster & Tragedy
9/29/1938,"Chamberlain, Hitler, Mussolini, and Daladier sign the Munich Agreement",Politics & Government
9/30/1938,The Munich Agreement cedes Czech land to Germany,Politics & Government
10/27/1938,"Dupont announces invention of Nylon, named for New York and London",Science & Technology
11/9/1938,Nazis attack Jewish businesses and synagogues on Kristallnacht,War & Military Conflict
3/2/1939,Eugenio Pacelli is elected Pope Pius XII on the eve of World War II,Religion
3/15/1939,Germany occupies the remainder of Czechoslovakia,War & Military Conflict
3/28/1939,"Nationalist forces led by Franco capture Madrid, ending the Spanish Civil War",War & Military Conflict
5/22/1939,Germany and Italy sign the Pact of Steel,Politics & Government
6/12/1939,Baseball Hall of Fame opens in Cooperstown,Sports
8/23/1939,Germany and the Soviet Union sign a non-aggression pact,Politics & Government
9/1/1939,WWII begins as Germany invades Poland,War & Military Conflict
9/1/1939,"German forces cross into Poland, igniting World War II",War & Military Conflict
9/1/1939,"Germany invades Poland, beginning World War II in Europe",War & Military Conflict
9/3/1939,Britain and France declare war on Germany,War & Military Conflict
9/17/1939,Soviet forces invade Poland from the east,War & Military Conflict
11/11/1939,God Bless America is publicly sung for the first time by Kate Smith,"Arts, Literature & Media"
11/30/1939,Soviet forces invade Finland in the Winter War,War & Military Conflict
4/9/1940,Germany invades Denmark and Norway,War & Military Conflict
4/27/1940,SS chief Himmler orders the establishment of Auschwitz,War & Military Conflict
5/10/1940,Winston Churchill becomes British Prime Minister,Politics & Government
5/26/1940,The evacuation of Allied troops from Dunkirk begins,War & Military Conflict
6/4/1940,German forces invade Paris,War & Military Conflict
6/22/1940,France signs an armistice with Nazi Germany,War & Military Conflict
7/10/1940,The Battle of Britain begins in the skies over England,War & Military Conflict
7/27/1940,Bugs Bunny makes his debut,"Arts, Literature & Media"
9/27/1940,"Germany, Italy, and Japan sign the Tripartite Pact",Politics & Government
6/22/1941,Germany launches Operation Barbarossa against the Soviet Union,War & Military Conflict
6/22/1941,"Germany launches Operation Barbarossa, invading the Soviet Union",War & Military Conflict
7/1/1941,The first commercial television broadcast airs in New York,Science & Technology
12/7/1941,"Japan bombs Pearl Harbor, Hawaii",War & Military Conflict
12/8/1941,U.S. and Britain declare war on Japan,War & Military Conflict
12/11/1941,US declares war on Germany and Italy,War & Military Conflict
1/20/1942,Nazi officials plan the Holocaust at the Wannsee Conference,War & Military Conflict
5/30/1942,The RAF launches its first thousand-bomber raid on Cologne,War & Military Conflict
6/4/1942,The U.S. Navy wins a decisive victory at the Battle of Midway,War & Military Conflict
6/4/1942,The U.S. Navy wins the decisive Battle of Midway against Japan,War & Military Conflict
6/6/1942,The Battle of Midway turns the tide in the Pacific War,War & Military Conflict
8/7/1942,Battle of Guadalcanal,War & Military Conflict
8/23/1942,German forces begin their assault on Stalingrad,War & Military Conflict
11/8/1942,Allied forces launch Operation Torch in North Africa,War & Military Conflict
12/2/1942,The first controlled nuclear chain reaction is achieved in Chicago,Science & Technology
1/7/1943,Inventor Nikola Tesla dies,Science & Technology
2/2/1943,German forces surrender at the Battle of Stalingrad,War & Military Conflict
2/2/1943,"German forces surrender at Stalingrad, a turning point on the Eastern Front",War & Military Conflict
7/10/1943,Allied forces invade Sicily,War & Military Conflict
7/25/1943,Mussolini is deposed by the Italian Grand Council,Politics & Government
9/3/1943,Italy secretly signs an armistice with the Allies,War & Military Conflict
9/8/1943,Italy surrenders to the Allies,War & Military Conflict
6/4/1944,Allied troops liberate Rome,War & Military Conflict
6/6/1944,Allied forces land in Normandy on D-Day,War & Military Conflict
6/10/1944,German troops massacre villagers at Oradour-sur-Glane,War & Military Conflict
6/22/1944,Soviet forces launch Operation Bagration against German lines,War & Military Conflict
7/20/1944,Franklin D. Roosevelt nominated for a fourth term as U.S. President,Politics & Government
7/20/1944,Officers fail in their plot to assassinate Hitler,Crime & Assassination
8/1/1944,The Warsaw Uprising begins against German occupation,War & Military Conflict
8/1/1944,A diarist named Anne Frank makes her final entry before capture,War & Military Conflict
8/25/1944,Paris is liberated from German occupation,War & Military Conflict
10/2/1944,"Nazis crush the Warsaw uprising, killing 250,000 people",War & Military Conflict
12/16/1944,Germany launches its last major offensive in the Battle of the Bulge,War & Military Conflict
1/27/1945,Soviet troops liberate the Auschwitz concentration camp,War & Military Conflict
2/13/1945,Allied bombers devastate Dresden in a firestorm,War & Military Conflict
2/19/1945,U.S. Marines land on Iwo Jima,War & Military Conflict
2/23/1945,U.S. Marines raise the flag on Iwo Jima,War & Military Conflict
3/9/1945,American bombers firebomb Tokyo in a massive raid,War & Military Conflict
4/12/1945,President Franklin D. Roosevelt dies in office,Politics & Government
4/15/1945,British troops liberate the Bergen-Belsen concentration camp,War & Military Conflict
4/29/1945,American troops liberate the Dachau concentration camp,War & Military Conflict
4/30/1945,Adolf Hitler dies by suicide in his Berlin bunker,War & Military Conflict
5/2/1945,Berlin surrenders to the Russian army,War & Military Conflict
5/8/1945,Victory in Europe Day marks Germany's surrender,War & Military Conflict
5/23/1945,British Prime Minister Winston Churchill resigns,Politics & Government
6/26/1945,Delegates sign the United Nations Charter in San Francisco,Politics & Government
7/16/1945,First atomic bomb detonated in NM,War & Military Conflict
7/26/1945,Allied leaders issue the Potsdam Declaration demanding Japan's surrender,War & Military Conflict
8/6/1945,The U.S. drops an atomic bomb on Hiroshima,War & Military Conflict
8/6/1945,The United States drops an atomic bomb on Hiroshima,War & Military Conflict
8/9/1945,The U.S. drops a second atomic bomb on Nagasaki,War & Military Conflict
8/17/1945,Indonesia declares independence from the Netherlands,Politics & Government
9/2/1945,"Japan formally surrenders, ending World War II",War & Military Conflict
9/9/1945,Japanese forces in China formally surrender,War & Military Conflict
10/24/1945,The United Nations is officially established,Politics & Government
10/24/1945,The United Nations officially comes into existence,Politics & Government
11/20/1945,"International War Crimes Tribunal begins trials in Neuremburg, Germany",War & Military Conflict
2/14/1946,The ENIAC computer is unveiled to the public,Science & Technology
5/3/1946,The Tokyo war crimes tribunal begins for Japanese leaders,War & Military Conflict
7/4/1946,The Philippines gains full independence from the United States,Politics & Government
7/5/1946,The bikini swimsuit debuts in Paris,Science & Technology
7/6/1946,President George W. Bush is born,Politics & Government
7/26/1946,President Truman orders desegregation of all U.S. forces,Civil Rights & Social Movement
8/19/1946,President Bill Clinton is born,Politics & Government
10/16/1946,Ten Nazi leaders are executed following the Nuremberg trials,War & Military Conflict
4/28/1947,Thor Heyerdahl sets sail on the Kon-Tiki raft across the Pacific,Exploration & Discovery
5/3/1947,Japan's postwar constitution takes effect,Politics & Government
6/5/1947,Secretary Marshall proposes a plan to rebuild postwar Europe,Politics & Government
8/15/1947,India gains independence from Britain,Politics & Government
8/15/1947,India and Pakistan gain independence from Britain amid mass partition violence,Politics & Government
9/9/1947,"A moth is found jamming the Harvard Mark II computer, coining the term ""bug""",Science & Technology
10/14/1947,U.S. Air Force Capt. Chuch Yeager is first pilot to exceed the speed of sound,Science & Technology
11/29/1947,The UN votes to partition Palestine into Jewish and Arab states,Politics & Government
12/23/1947,Bell Labs scientists build the first working transistor,Science & Technology
1/4/1948,Burma gains independence from Britain,Politics & Government
1/30/1948,Mahatma Gandhi is assassinated in New Delhi,Crime & Assassination
2/4/1948,"Ceylon, later Sri Lanka, gains independence from Britain",Politics & Government
5/14/1948,The State of Israel is proclaimed,Politics & Government
5/15/1948,Arab armies invade the new state of Israel,War & Military Conflict
5/26/1948,The National Party's victory in South Africa begins the apartheid era,Civil Rights & Social Movement
6/24/1948,Soviet Union begins the Berlin Blockade,War & Military Conflict
7/29/1948,"The London Olympics open, the first Games held after World War II",Sports
3/18/1949,NATO is formed,Politics & Government
4/4/1949,Twelve nations sign the treaty founding NATO,Politics & Government
5/23/1949,"The Federal Republic of Germany, West Germany, is established",Politics & Government
7/20/1949,Israel and its Arab neighbors sign armistice agreements,War & Military Conflict
9/23/1949,The Soviet Union tests its first atomic bomb,War & Military Conflict
10/1/1949,Mao Zedong proclaims the People's Republic of China,Politics & Government
10/1/1949,Mao Zedong proclaims the founding of the People's Republic of China,Politics & Government
10/7/1949,East Germany is proclaimed as the German Democratic Republic,Politics & Government
1/26/1950,India adopts its constitution and becomes a republic,Politics & Government
1/26/1950,"India's new constitution takes effect, forming a republic",Politics & Government
5/9/1950,Robert Schuman proposes pooling European coal and steel production,Politics & Government
6/25/1950,"North Korean forces invade South Korea, starting the Korean War",War & Military Conflict
9/15/1950,"UN forces land at Inchon, turning the tide of the Korean War",War & Military Conflict
11/1/1950,Chinese forces intervene in the Korean War,War & Military Conflict
4/11/1951,President Truman relieves General MacArthur of command,Politics & Government
4/18/1951,"Six nations sign the Treaty of Paris, founding the European Coal and Steel Community",Politics & Government
9/4/1951,The first live coast-to-coast television broadcast airs in the U.S.,Science & Technology
10/3/1951,"Bobby Thomson hits the ""Shot Heard 'Round the World""",Sports
1/14/1952,NBC's Today show debuts,"Arts, Literature & Media"
2/6/1952,Elizabeth II becomes Queen of the United Kingdom,Politics & Government
7/23/1952,Free Officers overthrow Egypt's King Farouk in a coup,Politics & Government
7/25/1952,Puerto Rico becomes a self-governing commonwealth of the U.S.,Politics & Government
3/5/1953,Soviet leader Joseph Stalin dies,Politics & Government
3/11/1953,Nuclear bomb accidentally dropped on North Carolina,War & Military Conflict
3/26/1953,Jonas Salk announces a successful polio vaccine,Science & Technology
4/25/1953,Watson and Crick describe the double-helix structure of DNA,Science & Technology
5/25/1953,The first hydrogen bomb test devastates a Pacific atoll,War & Military Conflict
5/29/1953,Edmund Hillary and Tenzing Norgay reach the summit of Mount Everest,Exploration & Discovery
5/29/1953,Edmund Hillary and Tenzing Norgay become the first to summit Mount Everest,Exploration & Discovery
7/26/1953,Fidel Castro's rebels attack the Moncada Barracks in Cuba,War & Military Conflict
7/27/1953,An armistice ends fighting in the Korean War,War & Military Conflict
8/19/1953,A CIA-backed coup restores the Shah to power in Iran,Politics & Government
9/12/1953,Nikita Khrushcheb becomes Soviet Prime Minister,Politics & Government
5/6/1954,Roger Bannister runs the first sub-four-minute mile,Sports
5/8/1954,Viet Minh forces overrun the French garrison at Dien Bien Phu,War & Military Conflict
5/17/1954,The U.S. Supreme Court rules school segregation unconstitutional in Brown v. Board,Civil Rights & Social Movement
7/2/1954,France withdraws from Vietnam after defeat at Dien Bien Phu,War & Military Conflict
7/20/1954,The Geneva Conference partitions Vietnam,Politics & Government
7/21/1954,The Geneva Accords divide Vietnam at the 17th parallel,Politics & Government
7/29/1954,England's Roger Bannister sets a new mile world record,Sports
11/1/1954,The Algerian War of Independence against France begins,War & Military Conflict
11/12/1954,Ellis Island immigration station in NY Harbor is closed,Politics & Government
4/12/1955,The Salk polio vaccine is declared safe and effective,Science & Technology
4/12/1955,Researchers announce Jonas Salk's polio vaccine is safe and effective,Science & Technology
4/18/1955,Physicist Albert Einstein dies,Science & Technology
12/1/1955,Rosa Parks arrested for not moving to the back of the bus,Civil Rights & Social Movement
12/5/1955,The Montgomery Bus Boycott begins,Civil Rights & Social Movement
4/19/1956,Grace Kelley marries Prince Ranier III of Monaco,Politics & Government
10/23/1956,The Hungarian Revolution against Soviet rule begins,War & Military Conflict
10/29/1956,"Israel invades the Sinai Peninsula, starting the Suez Crisis",War & Military Conflict
11/4/1956,Soviet tanks crush the Hungarian uprising in Budapest,War & Military Conflict
11/22/1956,"The Melbourne Olympics open, the first held in the Southern Hemisphere",Sports
12/2/1956,Fidel Castro's small rebel force lands in Cuba aboard the Granma,War & Military Conflict
3/6/1957,Ghana becomes the first sub-Saharan African colony to gain independence,Politics & Government
3/25/1957,"Six nations sign the Treaty of Rome, founding the European Economic Community",Business & Economy
7/6/1957,Althea Gibson becomes the first Black player to win Wimbledon,Sports
7/29/1957,Pres. Eisenhower signs legislation creating NASA,Space & Astronomy
9/24/1957,Federal troops enforce integration at Little Rock Central High,Civil Rights & Social Movement
10/4/1957,The Soviet Sputnik satellite is the first to orbit the earth,Space & Astronomy
11/3/1957,The Soviet Union launches Sputnik 2 carrying the dog Laika,Space & Astronomy
2/6/1958,A plane crash in Munich kills several Manchester United players,Disaster & Tragedy
7/29/1958,Congress establishes NASA,Space & Astronomy
7/29/1958,Explorer 1 confirms the Van Allen radiation belts,Space & Astronomy
8/29/1958,Singer Michael Jackson is born,"Arts, Literature & Media"
10/1/1958,NASA formally begins operations,Space & Astronomy
1/1/1959,Fidel Castro's forces overthrow the Batista government in Cuba,Politics & Government
1/1/1959,Fidel Castro's forces topple the Batista government in Cuba,Politics & Government
1/3/1959,Alaska becomes 49th U.S. state,Politics & Government
1/8/1959,Fidel Castro's forces enter Havana in triumph,War & Military Conflict
2/3/1959,"Musicians Buddy Holly, Ritchie Valens, and the Big Bopper die in a plane crash",Disaster & Tragedy
3/17/1959,The Dalai Lama flees Tibet for India,Religion
7/28/1959,Hawaii's first U.S. election send first Asian American to Congress,Politics & Government
8/21/1959,Hawaii is admitted as the 50th U.S. state,Politics & Government
1/1/1960,"Seventeen African nations gain independence in the ""Year of Africa""",Politics & Government
5/1/1960,A U.S. U-2 spy plane is shot down over the Soviet Union,War & Military Conflict
5/22/1960,"A massive earthquake strikes Valdivia, Chile, the largest ever recorded",Disaster & Tragedy
6/30/1960,The Congo gains independence from Belgium,Politics & Government
8/25/1960,The Rome Olympics open,Sports
9/26/1960,Kennedy and Nixon hold the first televised presidential debate,Politics & Government
10/1/1960,Nigeria gains independence from Britain,Politics & Government
1/20/1961,President John F. Kennedy delivers his inaugural address,Politics & Government
4/12/1961,Yuri Gagarin becomes the first human in space,Space & Astronomy
4/17/1961,Cuban exiles launch the failed Bay of Pigs invasion,War & Military Conflict
4/17/1961,CIA-backed exiles land at Cuba's Bay of Pigs in a failed invasion,War & Military Conflict
4/27/1961,Sierra Leone gains independence from Britain,Politics & Government
5/5/1961,Alan Shepard is first American in space,Space & Astronomy
5/25/1961,President Kennedy commits the U.S. to landing on the Moon by decade's end,Space & Astronomy
8/4/1961,President Barack Obama is born,Politics & Government
8/13/1961,East Germany begins construction of the Berlin Wall,Politics & Government
10/1/1961,"Roger Maris hits his 61st home run, breaking Babe Ruth's record",Sports
2/20/1962,John Glenn becomes the first American to orbit the Earth,Space & Astronomy
5/31/1962,Nazi war criminal Adolf Eichmann executed,War & Military Conflict
6/30/1962,Belgium and the Congo formally separate as the Congo gains independence,Politics & Government
7/1/1962,Algeria gains independence from France,Politics & Government
7/5/1962,Algeria gains independence after a long war with France,War & Military Conflict
7/23/1962,Telstar relays the first live transatlantic television broadcast,Science & Technology
9/12/1962,"Kennedy delivers his ""We choose to go to the Moon"" speech at Rice",Space & Astronomy
10/9/1962,Uganda gains independence from Britain,Politics & Government
10/11/1962,Pope John XXIII opens the Second Vatican Council,Religion
10/16/1962,The Cuban Missile Crisis begins,Politics & Government
10/20/1962,China and India go to war over their disputed Himalayan border,War & Military Conflict
10/22/1962,President Kennedy announces the naval blockade of Cuba on television,War & Military Conflict
10/28/1962,The Cuban Missile Crisis ends as the Soviets agree to remove missiles,Politics & Government
11/22/1962,President John F. Kennedy was assasinated,Crime & Assassination
1/14/1963,Charles de Gaulle vetoes British entry into the Common Market,Politics & Government
5/25/1963,African leaders found the Organisation of African Unity,Politics & Government
